productID,Category,SubCategory,productName,unitPrice,discount
1,Food,Beverages,Chai,18,15
2,Food,Beverages,Chang,19,20
3,Food,Seafood,Ikura,31,25
4,Food,Dairy Products,Queso Cabrales,21,10
5,Food,Dairy Products,Queso Manchego La Pastora,38,15
6,Food,Seafood,Konbu,6,10
7,Food,Seafood,Carnarvon Tigers,62.5,15
8,Food,Grains & Cereals,Gustaf's Knackebröd,21,20
9,Food,Grains & Cereals,Tunnbröd,9,25
10,Food,Beverages,Guarana Fantastica,4.5,10
11,Food,Seafood,Nord-Ost Matjeshering,25.89,5
12,Food,Dairy Products,Gorgonzola Telino,12.5,10
13,Food,Dairy Products,Mascarpone Fabioli,32,15
14,Food,Dairy Products,Geitost,2.5,20
15,Food,Beverages,Sasquatch Ale,14,25
16,Food,Beverages,Steeleye Stout,18,5
17,Food,Seafood,Inlagd Sill,19,10
18,Food,Seafood,Gravad lax,26,15
19,Food,Beverages,Côte de Blaye,263.5,20
20,Food,Beverages,Chartreuse verte,18,25
21,Food,Seafood,Boston Crab Meat,18.4,5
22,Food,Seafood,Jack's New England Clam Chowder,9.65,10
23,Food,Grains & Cereals,Singaporean Hokkien Fried Mee,14,10
24,Food,Beverages,Ipoh Coffee,46,20
25,Food,Seafood,Rogede sild,9.5,15
26,Food,Seafood,Spegesild,12,25
27,Food,Grains & Cereals,Filo Mix,7,5
28,Food,Grains & Cereals,Gnocchi di nonna Alice,38,10
29,Food,Grains & Cereals,Ravioli Angelo,19.5,15
30,Food,Seafood,Escargots de Bourgogne,13.25,20
31,Food,Dairy Products,Raclette Courdavault,55,25
32,Food,Dairy Products,Camembert Pierrot,34,5
33,Food,Grains & Cereals,Wimmers gute Semmelknödel,33.25,10
34,Food,Beverages,Laughing Lumberjack Lager,14,15
35,Food,Dairy Products,Gudbrandsdalsost,36,20
36,Food,Beverages,Outback Lager,15,25
37,Food,Dairy Products,Flotemysost,21.5,5
38,Food,Dairy Products,Mozzarella di Giovanni,34.8,0
39,Food,Seafood,Röd Kaviar,15,0
40,Food,Beverages,Rhönbräu Klosterbier,7.75,30
41,Food,Beverages,Lakkaliköri,18,5
42,clothes,Shirts,Chemises à manches courtes à rayures,35.98,50
43,clothes,Pyjama,Pyjama confortable en coton et lin,45.26,31
44,clothes,T-Shirts,T-shirt décontracté en coton uni avec poche poitrine,25.99,62
45,clothes,Shirts,Chemises à poches multicolores,33.94,50
46,clothes,Shirts,Chemises Imprimées Branches Vintage,33.94,32
47,clothes,T-Shirts,T-shirts graphiques Astronaute et Terre,29.99,67
48,clothes,Shirts,Chemise à imprimé floral en porcelaine pour homme,37.71,50
49,clothes,Shirts,Chemises 100% coton imprimées pour hommes,37.71,44
50,clothes,Shirts,Chemises unie Striola Chest Pocket,28.28,42
51,clothes,T-Shirts,T-shirt 100% coton à col en V de couleur unie,28.28,65
52,clothes,Shirts,Chemise à col montant en lin respirant,33.99,50
53,clothes,Pyjama,Ensembles de chemises en coton et lin,60.35,47
54,clothes,Shirts,Coton Colorful Chemise à rayures,35.99,48
55,clothes,Shirts,Chemises à manches courtes imprimées à l'huile florale vintage,28.28,30
